model,status,match,differences,n_params,theta_keys
lba2,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; rts: values differ (max diff: 7.603796e-01); choices: values differ (max diff: 1.000000e+00)",4,"A, b, v0, v1"
lba3,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; rts: values differ (max diff: 7.738696e-01); choices: values differ (max diff: 2.000000e+00)",5,"A, b, v0, v1, v2"
lba_3_vs_constraint,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; rts: values differ (max diff: 7.318904e-01); choices: values differ (max diff: 2.000000e+00)",5,"v0, v1, v2, a, z"
lba_angle_3_vs_constraint,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; rts: values differ (max diff: 1.095513e+00); choices: values differ (max diff: 2.000000e+00)",6,"v0, v1, v2, a, z, theta"
lba_angle_3,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; rts: values differ (max diff: 7.277253e-01); choices: values differ (max diff: 2.000000e+00)",6,"v0, v1, v2, a, z, theta"
lca_3,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",10,"v0, v1, v2, a, z0, z1, z2, g, b, t"
lca_no_bias_3,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",8,"v0, v1, v2, a, z, g, b, t"
lca_no_z_3,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",7,"v0, v1, v2, a, g, b, t"
lca_no_bias_angle_3,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",9,"v0, v1, v2, a, z, g, b, t, theta"
lca_no_z_angle_3,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",8,"v0, v1, v2, a, g, b, t, theta"
lca_4,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",12,"v0, v1, v2, v3, a, z0, z1, z2, z3, g, b, t"
lca_no_bias_4,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",9,"v0, v1, v2, v3, a, z, g, b, t"
lca_no_z_4,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",8,"v0, v1, v2, v3, a, g, b, t"
lca_no_bias_angle_4,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",10,"v0, v1, v2, v3, a, z, g, b, t, theta"
lca_no_z_angle_4,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",9,"v0, v1, v2, v3, a, g, b, t, theta"
tradeoff_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",6,"vh, vl1, vl2, a, d, t"
tradeoff_angle_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",7,"vh, vl1, vl2, a, d, t, theta"
tradeoff_weibull_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",8,"vh, vl1, vl2, a, d, t, alpha, beta"
tradeoff_conflict_gamma_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",10,"vh, vl1, vl2, d, t, a, theta, scale, alphagamma, scalegamma"
weibull_cdf,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; metadata.model: weibull_cdf vs weibull",6,"v, a, z, t, alpha, beta"
full_ddm2,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; metadata.model: full_ddm2 vs full_ddm",7,"v, a, z, t, sz, sv, st"
ddm_legacy,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",4,"v, a, z, t"
